,,,DBN,School Name,School Type,Enrollment,Impact Score,Performance Score,Instruction and Performance - Rating,Safety and School Climate - Rating,Relationships with Families - Rating,Instruction/Learning Environment - School Percent Positive,Advising and Planning - School Percent Positive,Safety - School Percent Positive,School Leadership - School Percent Positive,Student Support - School Percent Positive,Teaching Environment - School Percent Positive,Communication - School Percent Positive,Family Involvement - School Percent Positive,Family-School Trust - School Percent Positive,Average Incoming ELA Proficiency (Based on 5th Grade),Average Incoming Math Proficiency (Based on 5th Grade),Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Percentage of students recommended for general ed settings with Special Ed Teacher Support Services (SETSS),Percentage of students recommended for Integrated Co-Teaching (ICT) services,Percentage of students recommended for Special Class (SC) services,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Student Percent - Asian,Student Percent - Black,Student Percent - Hispanic,Student Percent - Native American,Student Percent - Native Hawaiian or Pacific Islander,Student Percent - White,Teacher Percent - Asian,Teacher Percent - Black,Teacher Percent - Hispanic,Teacher Percent - Native American,Teacher Percent - Native Hawaiian or Pacific Islander,Teacher Percent - White,Nearby Student Distance (mi),Nearby Student Percent - Asian,Nearby Student Percent - Black,Nearby Student Percent - Hispanic,Nearby Student Percent - Native American,Nearby Student Percent - Native Hawaiian or Pacific Islander,Nearby Student Percent - White,District Percent - Asian,District Percent - Black,District Percent - Hispanic,District Percent - Native American,District Percent - Native Hawaiian or Pacific Islander,District Percent - White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Average Student Attendance,Percentage of Students with >90% Attendance,Teacher Attendance Rate,Percentage of students with IEPs receiving all recommended special education programs,Percentage of students with IEPs receiving some recommended special education programs,Percentage of students with IEPs receiving no recommended special education programs,Percentage of students with IEPs receiving all recommended related services,Percentage of students with IEPs receiving some recommended related services,Percentage of students with IEPs receiving no recommended related services
,,,09X117,I.S. 117 Joseph H. Wade,Middle,334,0.47,0.3,Fair,Fair,Excellent,0.77,0.88,0.63,0.78,0.73,0.82,0.94,0.94,0.97,2.31,2.19,0.374,0.626,0,0.317,0.287,0.042,0.102,0.135,> 95%,0.284,0.91,0,0.15,0.826,0.012,0,0.012,N<5,0.361,0.361,N<5,N<5,0.222,0.3,0.002,0.262,0.718,0.006,0.002,0.011,0.007,0.278,0.693,0.006,0.002,0.01,1,0.972,0.881,0.558,0.95,0.81,0.19,0,0.93,0,0.07
,,,09X126,P.S. 126 Dr Marjorie H Dunbar,Elementary,439,0.5,0.39,Fair,Fair,Excellent,0.81,1,0.72,0.8,0.82,0.81,0.97,0.97,0.95,,,0.487,0.513,0,0.349,0.267,0.007,0.098,0.144,> 95%,0.351,0.9,0.002,0.237,0.736,0.002,0,0.014,N<5,0.241,0.444,0,0,0.259,0.2,0,0.294,0.679,0.004,0.003,0.013,0.008,0.243,0.717,0.008,0.002,0.015,4.6,0.574,0.887,0.537,0.97,0.89,N/A,N/A,0.97,0,0.03
,,,09X128,Mott Hall III,Middle,308,0.41,0.4,Fair,Fair,Fair,0.65,0.83,0.48,0.83,0.61,0.73,0.89,0.83,0.89,2.56,2.43,0.513,0.487,0,0.078,0.263,0.029,0.169,0.036,> 95%,0.201,0.919,0.01,0.373,0.597,0,0,0.019,N<5,0.25,0.286,0,0,0.321,0.4,0.006,0.395,0.574,0.007,0.002,0.01,0.007,0.278,0.693,0.006,0.002,0.01,4.7,0.536,0.881,0.557,0.943,1,0,0,0.88,0,0.13
,,,09X132,P.S. 132 Garret A. Morgan,Elementary,316,0.32,0.25,Fair,Needs Improvement,Needs Improvement,0.65,0.71,0.48,0.67,0.69,0.65,0.8,0.82,0.83,,,0.453,0.547,0,0.127,0.326,0.016,0.136,0.155,> 95%,0.263,0.921,0,0.424,0.535,0.006,0.003,0.016,N<5,0.41,0.256,N<5,N<5,0.256,0.2,0.002,0.408,0.556,0.005,0.003,0.016,0.008,0.243,0.717,0.008,0.002,0.015,0,0.795,0.882,0.534,0.954,0.96,N/A,N/A,0.96,0,0.04
,,,09X163,P.S. 163 Arthur A. Schomburg,Elementary,248,0.36,0.26,Fair,Fair,Good,0.73,,0.7,0.63,0.75,0.63,0.95,0.91,0.96,,,0.512,0.488,0,0.319,0.214,0.024,0.056,0.117,> 95%,0.258,0.927,0.004,0.363,0.621,0.008,0,0.004,N<5,0.31,0.31,N<5,N<5,0.345,0.1,0.007,0.286,0.672,0.016,0.004,0.011,0.008,0.243,0.717,0.008,0.002,0.015,6,0.897,0.924,0.705,0.949,0.92,N/A,N/A,0.95,N/A,N/A
,,,09X199,P.S. 199X - The Shakespeare School,Elementary,366,0.49,0.38,Good,Excellent,Excellent,0.9,0.88,0.82,0.9,0.95,0.95,0.98,0.92,0.98,,,0.47,0.53,0,0.295,0.281,0.011,0.115,0.134,> 95%,0.361,0.902,0.005,0.246,0.667,0.046,0.008,0.005,N<5,0.125,0.583,N<5,N<5,0.229,0.2,0,0.32,0.614,0.032,0.014,0.009,0.008,0.243,0.717,0.008,0.002,0.015,6.9,0.896,0.906,0.631,0.956,0.96,N/A,N/A,0.97,N/A,N/A
,,,09X204,P.S. 204 Morris Heights,Elementary,530,0.69,0.62,Excellent,Excellent,Excellent,0.92,0.86,0.87,0.96,0.98,0.97,0.99,0.98,1,,,0.462,0.538,0,0.142,0.266,0.03,0.115,0.081,0.945,0.247,0.883,0.008,0.251,0.706,0.011,0.002,0.019,N<5,N<5,0.222,0,0,0.622,0.2,0.004,0.286,0.677,0.009,0.005,0.011,0.008,0.243,0.717,0.008,0.002,0.015,10.1,0.867,0.915,0.677,0.968,0.99,N/A,N/A,0.99,N/A,N/A
,,,09X215,Kappa,Middle,186,0.52,0.45,Good,Good,Good,0.84,0.95,0.56,0.86,0.76,0.96,0.95,0.86,0.95,2.54,2.39,0.5,0.5,0,0.054,0.285,0.005,0.118,0.118,> 95%,0.177,0.914,0,0.462,0.505,0.016,0,0.005,N<5,0.655,N<5,0,0,0.207,0.4,0.005,0.411,0.564,0.005,0.001,0.011,0.007,0.278,0.693,0.006,0.002,0.01,19.2,0.897,0.892,0.609,0.96,1,0,0,0.95,N/A,N/A
,,,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,K-8,837,0.38,0.3,Fair,Fair,Good,0.69,0.81,0.61,0.67,0.66,0.63,0.92,0.91,0.96,,,0.507,0.493,0,0.234,0.192,0.011,0.115,0.002,> 95%,0.198,0.896,0.01,0.045,0.922,0.01,0.002,0.008,N<5,N<5,0.721,0,0,0.147,0.2,0.033,0.213,0.725,0.008,0.005,0.009,0.008,0.301,0.661,0.008,0.003,0.012,10.1,0.765,0.91,0.643,0.957,0.95,N/A,N/A,0.99,N/A,N/A
,,,09X219,I.S. 219 New Venture School,Middle,266,0.42,0.28,Fair,Fair,Excellent,0.71,0.85,0.53,0.72,0.67,0.75,0.95,0.91,1,2.37,2.28,0.496,0.504,0,0.211,0.323,0.004,0.154,0.147,> 95%,0.353,0.91,0.004,0.35,0.632,0.015,0,0,N<5,0.286,0.393,0,0,0.25,0.3,0.005,0.431,0.541,0.006,0.002,0.012,0.007,0.278,0.693,0.006,0.002,0.01,3,0.643,0.899,0.661,0.925,0.67,N/A,N/A,0.98,N/A,N/A
,,,09X229,I.S. 229 Roland Patterson,Middle,182,0.62,0.44,Excellent,Good,Excellent,0.85,0.95,0.72,0.9,0.82,0.93,0.98,0.96,0.99,2.24,2.09,0.478,0.522,0,0.154,0.357,0.016,0.176,0.165,> 95%,0.253,0.901,0.011,0.324,0.648,0.011,0,0,N<5,0.346,0.269,0,0,0.231,0.1,0.004,0.472,0.484,0.016,0,0.008,0.007,0.278,0.693,0.006,0.002,0.01,4.5,0.654,0.908,0.624,0.963,0.91,0.09,0,0.92,0,0.08
,,,09X231,Eagle Academy for Young Men,Middle,122,0.47,0.37,Good,Good,,0.79,0.82,0.59,0.75,0.73,0.83,,,,2.31,2.18,0,1,0,0.049,0.418,0.025,0.221,0.139,0.949,0.149,0.825,0.016,0.484,0.475,0.008,0.016,0,0,0.447,0.342,0,0,0.184,1,0.006,0.283,0.69,0.007,0.002,0.009,0.007,0.278,0.693,0.006,0.002,0.01,9,0.79,0.933,0.854,0.964,0.84,N/A,N/A,0.87,0,0.13
,,,09X232,I.S. 232,Middle,304,0.56,0.39,Good,Good,Good,0.8,0.9,0.62,0.85,0.71,0.8,0.95,0.85,0.96,2.43,2.24,0.444,0.556,0,0.355,0.263,0.016,0.118,0.115,> 95%,0.411,0.862,0.003,0.197,0.789,0,0.007,0.003,N<5,0.25,0.531,0,0,N<5,0.4,0.006,0.28,0.697,0.006,0.002,0.006,0.007,0.278,0.693,0.006,0.002,0.01,7.5,0.688,0.911,0.683,0.936,0.7,0.19,0.11,0.94,N/A,N/A
,,,09X236,P.S. 236 Langston Hughes,Elementary,257,0.43,0.39,Fair,Good,Excellent,0.77,,0.9,0.86,0.87,0.9,0.96,0.95,0.96,,,0.494,0.506,0,0.214,0.237,0.004,0.206,0.008,> 95%,0.268,0.903,0,0.233,0.751,0.004,0.004,0.004,0,0.222,0.259,0,0,0.519,0.1,0.002,0.328,0.637,0.014,0.005,0.002,0.008,0.243,0.717,0.008,0.002,0.015,2.2,0.852,0.904,0.623,0.964,0.94,N/A,N/A,0.99,N/A,N/A
,,,09X241,"Urban Assembly School for Applied Math and Science, The",Middle,233,0.36,0.31,Fair,Good,Good,0.79,0.87,0.69,0.88,0.75,0.8,0.92,0.91,0.96,2.44,2.35,0.532,0.468,0,0.129,0.33,0,0.215,0.077,> 95%,0.154,0.895,0,0.322,0.665,0,0,0.009,N<5,0.222,0.381,0,0,0.333,0.7,0.005,0.321,0.653,0.005,0.002,0.01,0.007,0.278,0.693,0.006,0.002,0.01,6.1,0.667,0.838,0.437,0.956,0.99,N/A,N/A,0.95,N/A,N/A
,,,09X274,The New American Academy at Roberto Clemente State Park,Elementary,355,0.34,0.3,Fair,Good,,0.89,,0.79,0.9,0.86,0.88,,,,,,0.496,0.504,0,0.13,0.332,0.003,0.169,0.121,> 95%,0.313,> 95%,0.006,0.307,0.637,0.014,0.003,0.028,N<5,0.237,0.421,N<5,N<5,0.316,0.1,0,0.45,0.476,0.013,0.003,0.035,0.008,0.243,0.717,0.008,0.002,0.015,0.2,0.921,0.898,0.602,0.95,0.93,0.07,0,0.98,0,0.02
,,,09X294,The Walton Avenue School,Elementary,355,0.42,0.34,Fair,Good,Excellent,0.85,0.86,0.81,0.83,0.91,0.76,0.96,0.94,0.96,,,0.459,0.541,0,0.211,0.301,0.014,0.11,0.149,> 95%,0.304,0.887,0.011,0.152,0.797,0.017,0,0.02,N<5,0.222,0.444,N<5,N<5,0.278,0.2,0.002,0.166,0.808,0.012,0,0.008,0.008,0.243,0.717,0.008,0.002,0.015,4.6,0.889,0.895,0.585,0.958,0.96,N/A,N/A,1,N/A,N/A
,,,09X303,I.S. X303 Leadership & Community Service,Middle,311,0.4,0.33,Fair,Excellent,Excellent,0.82,0.94,0.72,0.94,0.77,0.98,0.98,0.89,0.97,2.53,2.29,0.476,0.524,0,0.167,0.315,0,0.186,0.109,> 95%,0.299,0.897,0.003,0.238,0.752,0,0.003,0.003,N<5,0.25,N<5,0,0,0.357,0.4,0.006,0.284,0.692,0.006,0.002,0.006,0.007,0.278,0.693,0.006,0.002,0.01,6,0.536,0.925,0.766,0.983,0.91,0.09,0,0.94,0,0.06
,,,09X311,Lucero Elementary School,Elementary,294,0.29,0.19,Fair,Good,Excellent,0.87,1,0.78,0.97,0.89,0.95,0.97,0.91,0.97,,,0.469,0.531,0,0.514,0.241,0.01,0.082,0.116,0.943,0.378,0.833,0.003,0.075,0.912,0,0.003,0.003,N<5,0.179,0.571,N<5,N<5,0.179,0.2,0.004,0.162,0.807,0.011,0.001,0.007,0.008,0.243,0.717,0.008,0.002,0.015,2.1,0.75,0.9,0.569,0.962,0.97,N/A,N/A,0.97,0,0.03
,,,09X313,I.S. 313 School of Leadership Development,Middle,158,0.4,0.24,Fair,Fair,Excellent,0.74,0.82,0.57,0.77,0.7,0.73,0.97,0.99,0.99,2.35,2.09,0.449,0.551,0,0.348,0.285,0.006,0.108,0.165,> 95%,0.354,0.93,0.006,0.31,0.639,0.013,0,0.019,N<5,0.389,0.444,0,0,N<5,0.5,0.002,0.317,0.662,0.006,0.001,0.008,0.007,0.278,0.693,0.006,0.002,0.01,1.2,0.833,0.894,0.554,0.968,0.89,N/A,N/A,0.77,0,0.23
,,,09X323,Bronx Writing Academy,Middle,230,0.41,0.3,Fair,Good,Good,0.79,0.9,0.59,0.88,0.71,0.9,0.93,0.93,0.94,2.35,2.26,0.491,0.509,0,0.257,0.278,0.026,0.148,0.104,> 95%,0.365,0.93,0.004,0.239,0.739,0,0,0.013,N<5,0.29,0.323,0,0,0.258,0.4,0.009,0.316,0.649,0.008,0.002,0.011,0.007,0.278,0.693,0.006,0.002,0.01,9.1,0.839,0.905,0.657,0.946,0.87,N/A,N/A,0.93,N/A,N/A
,,,09X324,Bronx Early College Academy for Teaching & Learning,Middle,121,0.38,0.42,Fair,Good,Good,0.75,0.85,0.64,0.81,0.7,0.8,0.97,0.89,0.94,2.63,2.38,0.504,0.496,0,0.182,0.364,0,0.256,0.099,0.93,0.196,0.879,0.008,0.19,0.785,0.008,0,0,0,0.156,0.313,N<5,0,0.469,0.4,0.009,0.329,0.633,0.011,0.003,0.012,0.007,0.278,0.693,0.006,0.002,0.01,13,0.625,0.915,0.664,0.969,0.99,N/A,N/A,0.89,0,0.11
,,,09X327,Comprehensive Model School Project M.S. 327,Middle,304,0.58,0.51,Good,Good,Good,0.8,0.87,0.69,0.9,0.72,0.84,0.92,0.85,0.94,2.51,2.52,0.52,0.48,0,0.168,0.27,0,0.141,0.118,> 95%,0.188,0.899,0.007,0.188,0.783,0,0.007,0.013,N<5,0.236,0.364,0,0,0.273,0.3,0.005,0.232,0.747,0.005,0.002,0.007,0.007,0.278,0.693,0.006,0.002,0.01,10.1,0.764,0.891,0.577,0.949,0.85,0.15,0,0.96,0,0.04
,,,09X328,New Millennium Bronx Academy of the Arts,Middle,147,0.45,0.35,Fair,Good,Excellent,0.77,0.87,0.66,0.81,0.71,0.76,0.95,0.99,0.99,2.48,2.33,0.524,0.476,0,0.163,0.327,0.02,0.156,0.122,> 95%,0.34,0.918,0,0.361,0.626,0.007,0,0.007,0,0.25,0.3,0,0,0.4,0.6,0.009,0.35,0.614,0.009,0.002,0.011,0.007,0.278,0.693,0.006,0.002,0.01,18.2,0.65,0.899,0.655,0.963,0.87,0.13,0,0.85,0,0.15
,,,09X339,I.S. 339,Middle,177,0.55,0.37,Good,Excellent,Good,0.81,0.93,0.63,0.88,0.74,0.93,0.92,0.89,0.89,2.34,2.31,0.469,0.531,0,0.345,0.249,0.034,0.096,0.085,> 95%,0.328,0.898,0,0.26,0.734,0,0,0.006,N<5,0.5,0.357,N<5,N<5,N<5,0.5,0.002,0.331,0.648,0.006,0.001,0.008,0.007,0.278,0.693,0.006,0.002,0.01,13.1,1,0.937,0.778,0.965,0.95,N/A,N/A,0.78,0,0.22
,,,09X361,The Highbridge Green School,Middle,392,0.42,0.34,Fair,Excellent,Good,0.81,0.91,0.67,0.83,0.77,0.88,0.97,0.9,0.94,2.46,2.36,0.477,0.523,0,0.245,0.265,0,0.181,0.069,> 95%,0.237,0.916,0.003,0.209,0.776,0,0,0.013,0,0.342,0.395,0,0,0.237,0.3,0.003,0.275,0.7,0.005,0.003,0.01,0.007,0.278,0.693,0.006,0.002,0.01,11.2,0.553,0.919,0.68,0.962,0.97,N/A,N/A,0.98,N/A,N/A
,,,09X413,Bronx High School for Medical Science,Middle,143,0.39,0.38,Fair,Good,Fair,0.75,0.8,0.62,0.84,0.66,0.83,0.87,0.81,0.83,2.54,2.49,0.545,0.455,0,0.224,0.252,0.098,0.049,0.091,0.926,0.184,0.878,0.021,0.168,0.79,0,0,0.007,N<5,0.195,0.415,N<5,N<5,0.366,0.3,0.004,0.242,0.737,0.004,0.001,0.009,0.007,0.278,0.693,0.006,0.002,0.01,2.8,0.781,0.91,0.752,0.961,0.97,N/A,N/A,1,0,0
,,,09X443,The Family School,Elementary,361,0.66,0.56,Excellent,Good,Excellent,0.89,1,0.75,0.94,0.91,0.97,0.98,0.89,1,,,0.493,0.507,0,0.296,0.352,0.014,0.169,0.122,> 95%,0.227,0.909,0.017,0.266,0.668,0.008,0.017,0.019,N<5,0.239,0.37,0,0,0.261,0.2,0.024,0.296,0.647,0.005,0.001,0.018,0.008,0.243,0.717,0.008,0.002,0.015,9.1,0.87,0.894,0.577,0.955,0.76,N/A,N/A,0.95,0,0.05
,,,09X449,Grant Avenue Elementary School,Elementary,333,0.45,0.29,Fair,Good,Excellent,0.84,0.84,0.73,0.91,0.9,0.89,0.97,0.93,0.96,,,0.483,0.517,0,0.333,0.396,0,0.162,0.219,0.95,0.186,0.922,0.021,0.24,0.664,0.021,0,0.045,N<5,0.167,0.262,N<5,N<5,0.524,0.2,0.008,0.29,0.661,0.011,0,0.019,0.008,0.243,0.717,0.008,0.002,0.015,0.2,0.738,0.896,0.617,0.953,0.94,0.06,0,0.99,N/A,N/A
,,,09X454,Science and Technology Academy: A Mott Hall School,Middle,377,0.68,0.57,Excellent,Good,Good,0.85,0.96,0.69,0.89,0.75,0.91,0.92,0.85,0.93,2.57,2.39,0.477,0.523,0,0.175,0.279,0.05,0.13,0.09,0.936,0.268,0.881,0.027,0.231,0.706,0.008,0.005,0.016,N<5,0.143,0.429,N<5,N<5,0.4,0.4,0.007,0.325,0.638,0.011,0.003,0.013,0.007,0.278,0.693,0.006,0.002,0.01,1,0.514,0.9,0.613,0.965,0.95,N/A,N/A,0.77,N/A,N/A
,,,09X457,Sheridan Academy for Young Leaders,Elementary,374,0.39,0.31,Fair,Needs Improvement,Good,0.74,0.6,0.46,0.53,0.77,0.61,0.95,0.95,0.9,,,0.532,0.468,0,0.281,0.262,0.005,0.096,0.128,> 95%,0.227,0.914,0.032,0.222,0.725,0.003,0.005,0,N<5,N<5,0.412,0,0,0.412,0.2,0.026,0.301,0.636,0.005,0.001,0.02,0.008,0.243,0.717,0.008,0.002,0.015,15.2,0.765,0.892,0.568,0.959,0.95,N/A,N/A,0.91,0,0.09
,,,09X505,"Bronx School for Law, Government and Justice",Middle,253,0.43,0.38,Fair,Good,Fair,0.72,0.85,0.6,0.77,0.67,0.71,0.85,0.84,0.89,2.54,2.31,0.53,0.47,0,0.115,0.241,0,0.103,0.123,0.937,0.151,0.872,0.008,0.198,0.763,0.016,0,0.016,N<5,0.22,0.271,0,0,0.441,0.4,0.009,0.327,0.632,0.012,0.002,0.013,0.007,0.278,0.693,0.006,0.002,0.01,,0.695,0.913,0.675,0.963,0.98,N/A,N/A,0.93,0,0.07
,,,09X555,Mount Eden Children's Academy,Elementary,369,0.52,0.46,Good,Good,Excellent,0.85,0.69,0.68,0.91,0.89,0.91,0.99,0.94,0.99,,,0.493,0.507,0,0.238,0.201,0.057,0,0.095,0.927,0.217,0.864,0,0.182,0.805,0.003,0.003,0.003,N<5,0.194,0.484,N<5,N<5,0.29,0.3,0.006,0.248,0.704,0.023,0.003,0.008,0.008,0.243,0.717,0.008,0.002,0.015,7.7,0.807,0.924,0.723,0.963,0.94,N/A,N/A,0.99,N/A,N/A
,,,09X568,Young Women's Leadership School of the Bronx,Middle,209,0.46,0.46,Good,Excellent,Good,0.74,0.89,0.7,0.91,0.71,0.79,0.94,0.89,0.96,2.65,2.46,1,0,0,0.148,0.172,0.005,0.153,0.005,0.928,0.175,0.843,0.033,0.23,0.689,0.01,0.005,0.029,N<5,N<5,0.25,0,0,0.475,0.4,0.005,0.252,0.725,0.006,0.003,0.008,0.007,0.278,0.693,0.006,0.002,0.01,5.2,0.825,0.916,0.7,0.952,0.7,N/A,N/A,0.89,0,0.11
,,,09X593,South Bronx International Middle School,Middle,158,0.55,0.28,Good,Good,Excellent,0.77,0.92,0.68,0.85,0.72,0.83,0.98,0.95,0.98,2.18,2.03,0.424,0.576,0,0.709,0.177,0,0.108,0.057,> 95%,0.532,0.829,0.006,0.089,0.905,0,0,0,N<5,0.278,0.278,0,0,0.278,0.6,0.009,0.349,0.615,0.009,0.002,0.011,0.007,0.278,0.693,0.006,0.002,0.01,6.2,0.278,0.946,0.812,0.96,1,0,0,1,0,0
,,,09X594,New Pathways Academy,Middle,170,0.53,0.43,Good,Good,Good,0.82,0.89,0.64,0.92,0.76,0.88,0.94,0.84,0.95,2.41,2.4,0.535,0.465,0,0.324,0.306,0,0.135,0.147,> 95%,0.582,0.859,0.006,0.324,0.635,0.018,0,0,N<5,0.286,0.286,0,0,N<5,0.4,0.005,0.377,0.589,0.011,0.001,0.011,0.007,0.278,0.693,0.006,0.002,0.01,6.2,0.524,0.899,0.655,0.948,0.84,0.16,0,0.9,0,0.1
,,,10X003,P.S. 3 Raul Julia Micro Society,K-8,265,0.59,0.32,Good,Excellent,Good,0.78,0.95,0.68,0.84,0.72,0.82,0.93,0.92,0.97,,,0.521,0.479,0,0.147,0.332,0.038,0.087,0.143,0.912,0.109,0.853,0.004,0.257,0.728,0,0,0.004,N<5,0.286,0.25,N<5,N<5,0.357,0.4,0.007,0.261,0.698,0.008,0.003,0.016,0.035,0.138,0.763,0.007,0.003,0.044,21.2,0.821,0.918,0.694,0.957,0.97,N/A,N/A,1,0,0
,,,10X007,Milton Fein School,Elementary,377,0.64,0.65,Good,Excellent,Excellent,0.88,0.86,0.94,0.82,0.92,0.9,0.96,0.96,0.95,,,0.552,0.448,0,0.162,0.138,0.037,0.016,0.058,0.822,0.183,0.753,0.053,0.095,0.714,0.005,0.008,0.09,N<5,N<5,0.313,0,0,0.625,0.3,0.039,0.079,0.759,0,0.002,0.106,0.038,0.129,0.753,0.008,0.003,0.057,7.6,0.938,0.933,0.767,0.982,1,0,0,1,0,0
,,,10X008,P.S. 008 Isaac Varian,Elementary,622,0.38,0.35,Fair,Good,Excellent,0.89,0.9,0.71,0.88,0.89,0.92,0.97,0.94,0.96,,,0.484,0.516,0,0.238,0.223,0.021,0.074,0.105,0.927,0.201,0.879,0.084,0.08,0.77,0.006,0.002,0.053,N<5,N<5,0.262,N<5,0,0.623,0.2,0.08,0.12,0.718,0.007,0.007,0.063,0.038,0.129,0.753,0.008,0.003,0.057,8.9,0.902,0.902,0.625,0.952,0.99,N/A,N/A,1,0,0
,,,10X009,P.S. 9 Ryer Avenue Elementary School,Elementary,472,0.39,0.3,Fair,Fair,Good,0.8,0.81,0.61,0.81,0.72,0.75,0.94,0.81,0.95,,,0.513,0.487,0,0.341,0.271,0.011,0.123,0.108,> 95%,0.292,0.915,0.008,0.155,0.814,0.004,0.004,0.013,N<5,0.182,0.436,0,0,0.309,0.2,0.009,0.217,0.743,0.006,0.003,0.016,0.038,0.129,0.753,0.008,0.003,0.057,1,0.782,0.906,0.633,0.958,0.95,N/A,N/A,0.94,0,0.06
,,,10X015,P.S. X015 Institute for Environmental Learning,K-8,391,0.6,0.44,Good,Fair,Fair,0.73,0.81,0.59,0.53,0.63,0.5,0.9,0.89,0.78,,,0.496,0.504,0,0.171,0.286,0.005,0.199,0.046,0.889,0.151,0.839,0.008,0.09,0.893,0.005,0,0,N<5,0.375,0.25,N<5,N<5,0.35,0.3,0.019,0.137,0.819,0.007,0.001,0.011,0.035,0.138,0.763,0.007,0.003,0.044,5,0.7,0.919,0.71,0.96,0.96,N/A,N/A,0.97,N/A,N/A
,,,10X020,"PS/MS 20 P.O.George J. Werdann, III",K-8,750,0.47,0.25,Fair,Fair,,0.78,0.79,0.61,0.65,0.74,0.81,,,,,,0.453,0.547,0,0.289,0.273,0.009,0.151,0.101,0.934,0.272,0.872,0.06,0.116,0.759,0.017,0.004,0.039,0.121,0.106,0.303,0,0,0.424,0.4,0.127,0.102,0.699,0.012,0.004,0.05,0.035,0.138,0.763,0.007,0.003,0.044,1.1,0.788,0.889,0.558,0.966,0.92,N/A,N/A,0.97,0,0.03
,,,10X023,P.S. 023 The New Children's School,Elementary,335,0.34,0.25,Fair,Good,Excellent,0.73,0.87,0.7,0.84,0.79,0.84,0.94,0.96,0.98,,,0.457,0.543,0,0.26,0.307,0.006,0.101,0.17,> 95%,0.301,0.884,0.009,0.254,0.707,0.012,0,0.012,0,0.146,0.439,0,0,0.415,0.3,0.008,0.303,0.653,0.012,0.004,0.014,0.038,0.129,0.753,0.008,0.003,0.057,15,0.756,0.902,0.611,0.962,0.93,0.07,0,0.98,N/A,N/A
,,,10X024,P.S. 024 Spuyten Duyvil,Elementary,752,0.7,0.8,Excellent,Excellent,Good,0.88,0.79,0.87,0.94,0.93,0.94,0.95,0.94,0.94,,,0.483,0.517,0,0.055,0.198,0.005,0.105,0.059,0.372,0.037,0.294,0.066,0.072,0.461,0.005,0.007,0.339,N<5,0.093,N<5,0,0,0.833,0.4,0.065,0.054,0.464,0.007,0.004,0.35,0.038,0.129,0.753,0.008,0.003,0.057,8,0.963,0.939,0.826,0.955,0.92,N/A,N/A,1,N/A,N/A
,,,10X032,P.S. 032 Belmont,Elementary,501,0.33,0.28,Fair,Good,Excellent,0.86,0.94,0.81,0.91,0.89,0.92,0.96,0.96,0.99,,,0.495,0.505,0,0.21,0.307,0.012,0.192,0.084,> 95%,0.232,0.92,0.002,0.186,0.766,0.018,0.004,0.022,N<5,N<5,0.306,0,0,0.597,0.2,0.003,0.22,0.741,0.006,0.002,0.019,0.038,0.129,0.753,0.008,0.003,0.057,9.5,0.839,0.885,0.542,0.959,0.86,0.14,0,0.99,N/A,N/A
,,,10X033,P.S. 033 Timothy Dwight,Elementary,738,0.35,0.29,Fair,Fair,Good,0.85,0.91,0.52,0.83,0.77,0.82,0.96,0.9,0.94,,,0.527,0.473,0,0.317,0.262,0.022,0.1,0.106,0.95,0.203,0.886,0.012,0.103,0.859,0.012,0.003,0.009,N<5,0.19,0.448,0,0,0.31,0.2,0.009,0.101,0.866,0.014,0,0.006,0.038,0.129,0.753,0.008,0.003,0.057,19.2,0.862,0.887,0.551,0.947,0.93,N/A,N/A,0.92,0,0.08
,,,10X037,P.S. X037 - Multiple Intelligence School,K-8,434,0.51,0.3,Fair,,Good,,,,,,,0.93,0.9,0.9,,,0.449,0.551,0,0.136,0.323,0.009,0.154,0.118,0.911,0.224,0.866,0.012,0.157,0.818,0.005,0,0.007,0,N<5,0.289,0,0,0.579,0.3,0.023,0.118,0.736,0,0.003,0.095,0.035,0.138,0.763,0.007,0.003,0.044,1.1,0.79,0.871,0.48,0.975,0.97,N/A,N/A,0.96,0,0.04
,,,10X045,Thomas C. Giordano Middle School 45,Middle,415,0.42,0.34,Fair,Fair,Excellent,0.72,0.78,0.54,0.59,0.69,0.67,0.98,0.98,0.99,2.34,2.16,0.518,0.482,0,0.219,0.243,0,0.123,0.104,0.947,0.217,0.901,0.014,0.14,0.814,0.01,0.005,0.012,N<5,0.132,0.211,0,0,0.605,0.4,0.004,0.162,0.807,0.004,0,0.017,0.033,0.139,0.777,0.007,0.002,0.037,2,0.868,0.884,0.547,0.963,0.93,N/A,N/A,0.99,N/A,N/A
,,,10X046,P.S. 046 Edgar Allan Poe,Elementary,610,0.4,0.3,Fair,Fair,Good,0.78,0.64,0.5,0.71,0.72,0.77,0.93,0.87,0.94,,,0.492,0.508,0,0.403,0.277,0.02,0.107,0.102,> 95%,0.262,0.902,0.011,0.121,0.833,0.007,0.002,0.02,0,0.164,0.492,0,0,0.295,0.1,0.003,0.173,0.787,0.002,0.002,0.02,0.038,0.129,0.753,0.008,0.003,0.057,15.8,0.82,0.917,0.687,0.952,0.9,N/A,N/A,0.97,0,0.03
