,,,DBN,School Name,School Type,Enrollment,Impact Score,Performance Score,Instruction and Performance - Rating,Safety and School Climate - Rating,Relationships with Families - Rating,Instruction/Learning Environment - School Percent Positive,Advising and Planning - School Percent Positive,Safety - School Percent Positive,School Leadership - School Percent Positive,Student Support - School Percent Positive,Teaching Environment - School Percent Positive,Communication - School Percent Positive,Family Involvement - School Percent Positive,Family-School Trust - School Percent Positive,Average Incoming ELA Proficiency (Based on 5th Grade),Average Incoming Math Proficiency (Based on 5th Grade),Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Percentage of students recommended for general ed settings with Special Ed Teacher Support Services (SETSS),Percentage of students recommended for Integrated Co-Teaching (ICT) services,Percentage of students recommended for Special Class (SC) services,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Student Percent - Asian,Student Percent - Black,Student Percent - Hispanic,Student Percent - Native American,Student Percent - Native Hawaiian or Pacific Islander,Student Percent - White,Teacher Percent - Asian,Teacher Percent - Black,Teacher Percent - Hispanic,Teacher Percent - Native American,Teacher Percent - Native Hawaiian or Pacific Islander,Teacher Percent - White,Nearby Student Distance (mi),Nearby Student Percent - Asian,Nearby Student Percent - Black,Nearby Student Percent - Hispanic,Nearby Student Percent - Native American,Nearby Student Percent - Native Hawaiian or Pacific Islander,Nearby Student Percent - White,District Percent - Asian,District Percent - Black,District Percent - Hispanic,District Percent - Native American,District Percent - Native Hawaiian or Pacific Islander,District Percent - White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Average Student Attendance,Percentage of Students with >90% Attendance,Teacher Attendance Rate,Percentage of students with IEPs receiving all recommended special education programs,Percentage of students with IEPs receiving some recommended special education programs,Percentage of students with IEPs receiving no recommended special education programs,Percentage of students with IEPs receiving all recommended related services,Percentage of students with IEPs receiving some recommended related services,Percentage of students with IEPs receiving no recommended related services
,,,01M184,P.S. 184m Shuang Wen,K-8,682,0.58,0.86,Excellent,Excellent,Good,0.82,0.92,0.78,0.86,0.74,0.84,0.95,0.91,0.96,,,0.494,0.506,0,0.072,0.117,0,0.085,0.001,0.615,0.129,0.471,0.654,0.026,0.132,0.003,0,0.082,0.8,N<5,N<5,N<5,N<5,0.18,0.5,0.34,0.169,0.306,0.006,0.001,0.128,0.172,0.149,0.46,0.005,0.003,0.153,5,0.86,0.965,0.912,0.971,0.93,N/A,N/A,1,0,0
,,,01M188,P.S. 188 The Island School,K-8,417,0.71,0.42,Good,Good,Excellent,1,1,1,0.99,0.99,0.99,1,1,1,,,0.46,0.54,0,0.319,0.293,0.002,0.18,0.094,> 95%,0.552,0.902,0.019,0.245,0.686,0.012,0.01,0.014,N<5,0.216,0.432,0,0,0.189,0.4,0.108,0.234,0.578,0.007,0.004,0.049,0.172,0.149,0.46,0.005,0.003,0.153,10.1,0.757,0.827,0.324,0.96,0.96,N/A,N/A,1,N/A,N/A
,,,01M315,The East Village Community School,Elementary,404,0.51,0.61,Good,Good,Excellent,0.86,0.75,0.85,0.86,0.91,0.9,0.98,0.98,0.97,,,0.5,0.5,0,0.047,0.312,0,0.25,0.027,0.529,0.067,0.45,0.089,0.092,0.403,0.002,0,0.322,0.086,N<5,0.138,0,0,0.724,0.7,0.124,0.101,0.294,0.003,0.002,0.375,0.065,0.161,0.563,0.006,0.004,0.154,10.1,0.81,0.926,0.761,0.973,0.96,N/A,N/A,0.99,N/A,N/A
,,,01M332,University Neighborhood Middle School,Middle,163,0.56,0.45,Good,Good,Excellent,0.8,0.94,0.67,0.93,0.79,0.94,0.97,0.9,0.97,2.56,2.17,0.485,0.515,0,0.166,0.38,0,0.301,0.08,0.936,0.313,0.859,0.025,0.227,0.669,0.006,0.006,0.049,N<5,N<5,0.231,0,0,0.5,0.5,0.37,0.151,0.325,0.005,0.001,0.11,0.07,0.188,0.573,0.006,0.002,0.128,15.9,0.808,0.843,0.407,0.98,0.98,N/A,N/A,0.98,N/A,N/A
,,,01M361,The Children's Workshop School,Elementary,269,0.43,0.49,Fair,Good,Good,0.88,,0.92,0.9,0.99,0.88,0.95,0.95,0.93,,,0.468,0.532,0,0.186,0.23,0.004,0.201,0,0.6,0.257,0.502,0.059,0.082,0.431,0.007,0,0.331,N<5,N<5,0.233,0,0,0.5,0.4,0.092,0.204,0.424,0.003,0.003,0.206,0.065,0.161,0.563,0.006,0.004,0.154,20.2,0.8,0.902,0.61,0.962,0.94,N/A,N/A,0.99,N/A,N/A
,,,01M363,Neighborhood School,Elementary,205,,,,Good,Good,0.87,,0.91,0.83,0.87,0.77,0.92,0.95,0.9,,,0.483,0.512,0.005,0.02,0.302,0,0.288,0,0.532,0.083,0.434,0.059,0.102,0.371,0.02,0.005,0.361,N<5,0.227,N<5,0,0,0.545,0.7,0.244,0.127,0.378,0.004,0.003,0.19,0.065,0.161,0.563,0.006,0.004,0.154,11,0.636,0.902,0.622,0.996,0.95,N/A,N/A,0.99,N/A,N/A
,,,01M364,Earth School,Elementary,176,0.29,0.38,Fair,Good,Excellent,0.8,,0.68,0.88,0.88,0.87,0.99,0.98,0.94,,,0.489,0.511,0,0.045,0.369,0.006,0.301,0.04,0.639,0.142,0.557,0.045,0.085,0.506,0,0,0.244,N<5,N<5,N<5,0,0,0.68,0.5,0.117,0.2,0.535,0.003,0.003,0.1,0.065,0.161,0.563,0.006,0.004,0.154,5.1,1,0.903,0.676,0.955,0.89,0.11,0,0.97,N/A,N/A
,,,01M378,School for Global Leaders,Middle,178,0.49,0.37,Good,Good,Excellent,0.75,0.9,0.73,0.92,0.74,0.94,0.99,0.96,1,2.44,2.21,0.455,0.539,0.006,0.354,0.303,0,0.27,0.017,0.926,0.404,0.82,0.101,0.163,0.64,0.011,0,0.067,0.25,N<5,N<5,0,N<5,0.4,0.7,0.326,0.144,0.393,0.006,0.001,0.103,0.07,0.188,0.573,0.006,0.002,0.128,8.2,0.7,0.884,0.516,0.936,0.96,N/A,N/A,0.87,0,0.13
,,,01M450,East Side Community School,Middle,317,0.49,0.5,Good,Excellent,Excellent,0.82,0.89,0.74,0.91,0.78,0.84,0.97,0.92,0.98,2.76,2.58,0.41,0.59,0,0.022,0.347,0.006,0.293,0.032,0.722,0.131,0.544,0.057,0.205,0.53,0.006,0.003,0.142,0.088,0.191,0.265,0,0,0.397,0.9,0.178,0.139,0.359,0.007,0.001,0.256,0.07,0.188,0.573,0.006,0.002,0.128,23.1,0.794,0.925,0.739,0.967,0.9,N/A,N/A,0.98,0,0.03
,,,01M539,"New Explorations into Science, Technology and Math High School",K-8,1040,0.49,1.06,Excellent,Excellent,Excellent,0.81,0.88,0.82,0.85,0.72,0.85,0.94,0.91,0.97,,,0.518,0.482,0,0.007,0.093,0.026,0.038,0.001,0.189,0.015,0.21,0.417,0.024,0.072,0.002,0.002,0.356,0.204,0.051,0.051,0,0,0.673,3,0.136,0.184,0.343,0.006,0.003,0.268,0.172,0.149,0.46,0.005,0.003,0.153,4.2,0.765,0.955,0.921,0.969,0.96,0.04,0,0.95,0,0.05
